claim_id,section,claim,source_text,source_url
c121,集約化,"採卵鶏の1戸当たり飼養羽数は2024年に79,103羽で、2000年の2.6倍",畜産統計調査の飼養羽数÷飼養戸数,https://www.e-stat.go.jp/stat-search/files?tclass=000001020194
c122,集約化,"ブロイラーの1戸当たり飼養羽数は2024年に68,835羽で、1965年の77.2倍",同上。2011年に調査対象基準が変更されている点に注意,https://www.e-stat.go.jp/stat-search/files?tclass=000001020194
c123,集約化,"豚の1戸当たり飼養頭数は2024年に2,758頭で、1960年の1149.1倍",同上,https://www.e-stat.go.jp/stat-search/files?tclass=000001020194
c131,労働力,"1FTE当たりの飼養数は採卵養鶏で2010年4,449羽→2022年9,276羽（2.1倍）","営農類型別経営統計の自営農業労働時間と飼養頭羽数。1FTE=年間2,080時間",https://www.e-stat.go.jp/stat-search/files?tclass=000001032890
c132,労働力,動物取扱業者が飼養できる犬猫の上限は従業者1人当たり犬20頭（うち繁殖犬15頭）・猫30頭（うち繁殖猫25頭）,令和3年環境省令第7号,https://laws.e-gov.go.jp/law/503M60001000007
c133,労働力,環境省は員数規定の趣旨を「1人当たりの飼養保管頭数が多くなると、個体の飼養保管や施設の維持管理が行き届かない傾向があるため」と説明している,解釈と運用指針「2.動物の飼養又は保管に従事する従業者の員数に関する事項」趣旨,https://www.env.go.jp/nature/dobutsu/aigo/2_data/pamph/r0305a.html
c201,採卵鶏,"日本のケージフリー割合は1.483%（192万4,435羽／1億2,973万羽、2025年）",,https://arcj.org/issues/farm-animals/layer-chicken/cagefreesurvey2025/
c202,採卵鶏,ARC調査は連絡のつかない31農場を含まないため最低値である,,https://arcj.org/issues/farm-animals/layer-chicken/cagefreesurvey2025/
c203,採卵鶏,増やす予定の33万295羽を含めると1.738%になる,,https://arcj.org/issues/farm-animals/layer-chicken/cagefreesurvey2025/
c204,採卵鶏,ケージフリーの内訳は平飼い69.38%・エイビアリー29.17%・放牧1.44%,,https://arcj.org/issues/farm-animals/layer-chicken/cagefreesurvey2025/
c205,採卵鶏,ARCの2023年調査ではケージフリー1.11%,,https://www.hopeforanimals.org/eggs/1percent-cage-free/
c206,採卵鶏,麻布大学の調査では回答138経営内の比率が3.17%、報告書自身が高めに出ている可能性を注記,,https://lab-navi.azabu-u.ac.jp/va-10
c207,採卵鶏,WEOによる日本の非ケージ割合は2023年3.5%・2022年5.9%（大木2025からの二次引用、原典未確認）,,https://lab-navi.azabu-u.ac.jp/va-10
c208,採卵鶏,各国のケージフリー割合（EU加盟国は欧州委員会の報告）,,https://agriculture.ec.europa.eu/farming/animal-products/eggs_en
c209,採卵鶏,イギリスのケージフリー割合はDefraの包装施設調査から推計,,https://www.gov.uk/government/statistics/egg-statistics
c210,採卵鶏,アメリカのケージフリー割合はUSDA Egg Markets Overviewによる,,https://esmis.nal.usda.gov/concern/publications/73667q50n
c211,採卵鶏,EU・英・米以外の国はWelfare Footprint Instituteの2022年集計（参照年2013〜2018年）,,https://welfarefootprint.org/research-projects/laying-hens/
c212,採卵鶏,"インドの0%は商業養鶏の数字で、2022〜23年度の鶏卵1,383.8億個のうち202.0億個（14.6%）は庭先養鶏",Rokade et al. (2024) Frontiers in Veterinary Science,https://www.frontiersin.org/journals/veterinary-science/articles/10.3389/fvets.2024.1442580/full
c213,採卵鶏,"東南アジア6か国の採卵鶏は合計7億6,787万羽、ケージフリー宣言326件のうち現地企業は47件","Zeng, W., Statharas, L., Kan, R.-H. (2023) State of Animal Farming in Southeast Asia, Welfare Matters。採卵鶏の羽数は同報告書の家畜頭羽数表（6か国計 767,874千羽、原データはFAO 2021）、宣言件数はTable 11「Cage-free egg commitments in SEA-6 from Chicken Watch」（合計326件、うちSEA企業47件）",https://www.welfarematters.org/s/State-of-Animal-Farming-in-Southeast-Asia-v12-July-2023.pdf
c214,採卵鶏,バタリーケージの1羽当たり面積は平均448.9cm²（ケージ専業43経営）,,https://lab-navi.azabu-u.ac.jp/va-10
c215,採卵鶏,A4判は210mm×297mm＝623.7cm²,,https://www.iso.org/standard/36631.html
c216,採卵鶏,EUのエンリッチドケージの下限は1羽750cm²,指令1999/74/EC 第6条,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A31999L0074
c217,採卵鶏,"ケージフリーへの移行で減る痛みは対従来型ケージでDisabling 275・Hurtful 2,313・Annoying 4,645時間",,https://welfarefootprint.org/research-projects/laying-hens/
c218,採卵鶏,"エンリッチドケージとの比較ではHurtful 1,410時間・Annoying 4,065時間減",,https://welfarefootprint.org/research-projects/laying-hens/
c219,採卵鶏,ケージフリーでも鶏は産卵期間の3分の1以上を痛みの中で過ごす,,https://ourworldindata.org/do-better-cages-or-cage-free-environments-really-improve-the-lives-of-hens
c220,採卵鶏,"最も強い痛みは卵管炎・腹膜炎が主因で5万羽の群あたり約2,000時間発生する",,https://welfarefootprint.org/research-projects/laying-hens/
c221,採卵鶏,原種のセキショクヤケイは年に約12個、現代の採卵鶏は年に約300個産む,,https://ourworldindata.org/do-better-cages-or-cage-free-environments-really-improve-the-lives-of-hens
c222,採卵鶏,EUは2012年に従来型ケージを禁止し、オーストリアとルクセンブルクはケージ自体を廃止した,指令1999/74/EC。各国の追加規制は別途確認が必要,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A31999L0074
c223,採卵鶏,エイビアリーでは竜骨（キールボーン）骨折が最大の福祉課題とされる,,https://ourworldindata.org/do-better-cages-or-cage-free-environments-really-improve-the-lives-of-hens
c224,採卵鶏,Inside the Cageで内部告発者が実測したバタリーケージの1羽当たり面積は、最も狭いところで277cm²,アニマルライツセンター「Inside the Cage」で内部告発者が実際に測った値のうち最も狭いもの,https://arcj.org/inside-the-cage/
c225,採卵鶏,国内最大手の養鶏場で実測されたバタリーケージの1羽当たり面積は285cm²,国内最大手の養鶏場で実測された1羽当たり飼養面積 285cm²,
c231,採卵鶏,ビークトリミングは約75%の経営が実施している（実施22.5%＋実施済雛の導入52.8%）,農林水産省(2025)の数値を大木(2025)が整理,https://lab-navi.azabu-u.ac.jp/va-10
c232,採卵鶏,採卵鶏は約120日齢で育成鶏舎から成鶏鶏舎のケージへ移される,移動時期の一次資料は未特定,
c233,採卵鶏,採卵鶏は約150日齢で産卵を開始する,畜産統計は「成鶏めす」をふ化後6か月以上と定義。産卵開始日齢の一次資料は未特定,
c234,採卵鶏,誘導換羽（強制換羽）は45〜55%程度の経営が実施している,日本養鶏協会(2025)45%、農林水産省(2025)54.7%。大木(2025)の整理,https://lab-navi.azabu-u.ac.jp/va-10
c235,採卵鶏,誘導換羽を実施しない経営の成鶏飼養日数は546〜570日齢,日本養鶏協会「鶏卵生産等のアンケート調査結果について」2022.3〜2025.3,https://lab-navi.azabu-u.ac.jp/va-10
c236,採卵鶏,誘導換羽を実施する経営の成鶏飼養日数は696〜713日齢で、実施しない場合より平均151日長い,同上。大木(2025)が4年平均で151日の差と整理,https://lab-navi.azabu-u.ac.jp/va-10
c241,ブロイラー,ブロイラーの初生ひなの体重は40g前後,一次資料の特定が必要,
c242,ブロイラー,ブロイラーの成長速度は過去50年で300%以上（1日25g→100g）増加した,Knowles et al. (2008) PLoS ONE 3(2):e1545,https://doi.org/10.1371/journal.pone.0001545
c243,ブロイラー,平均40日齢で27.6%が歩行に障害を示し、3.3%はほとんど歩けない,"Knowles et al. (2008)。51,000羽（176群・480万羽相当）の調査",https://doi.org/10.1371/journal.pone.0001545
c244,ブロイラー,1957年の品種と同条件で比べると、2005年の品種は56日齢体重が約4倍になっている,Zuidhof et al. (2014) Poultry Science 93(12):2970-2982,https://doi.org/10.3382/ps.2014-04291
c245,ブロイラー,"同一条件で56日齢まで育てた体重は1957年品種905g・1978年品種1,808g・2005年品種4,202g","Zuidhof et al. (2014) Figure 1 の併記体重。0日齢は34/42/44g、28日齢は316/632/1,396g",https://doi.org/10.3382/ps.2014-04291
c246,ブロイラー,1957年から2005年にかけてブロイラーの成長は400%以上増加し、飼料要求率は50%低下した,"Zuidhof et al. (2014) Abstract「From 1957 to 2005, broiler growth increased by over 400%, with a concurrent 50% reduction in feed conversion ratio」",https://doi.org/10.3382/ps.2014-04291
c251,採卵鶏,アジア各国のケージフリー率（GCAW 2023年12月、2022年の値）はインド20%・台湾15%・トルコ12%・中国10%・インドネシア10%・日本8%・タイ8%・韓国5%・ベトナム0%・ロシア0%,"Global Coalition for Animal Welfare「Cage Free Eggs: A Global Landscape Review」（2023年12月）の国別表「Country Status（% of cage-free production）」列。同表の脚注6は「Figures mainly taken from Welfare Footprint Project, Center for Welfare Metrics」とし、国ごとの一次資料も分母の定義も示していない",https://www.gc-animalwelfare.org/wp-content/uploads/2024/02/GCAW-Knowledge-Share-Cage-Free-Eggs-Global-Landscape-Review-Executive-Summary.pdf
c252,採卵鶏,GCAWの数値はWelfare Footprint Projectの集計に基づく二次資料で、分母の定義も国別の一次資料も示されておらず、日本8%は国内調査(1.48%)ともOWIDの同集計(5.4%)とも食い違う,"Global Coalition for Animal Welfare「Cage Free Eggs: A Global Landscape Review」（2023年12月）の国別表「Country Status（% of cage-free production）」列。同表の脚注6は「Figures mainly taken from Welfare Footprint Project, Center for Welfare Metrics」とし、国ごとの一次資料も分母の定義も示していない",https://www.gc-animalwelfare.org/wp-content/uploads/2024/02/GCAW-Knowledge-Share-Cage-Free-Eggs-Global-Landscape-Review-Executive-Summary.pdf
c261,採卵鶏,"韓国のケージフリー率は羽数ベースで7.5%（2024年末、動物福祉認証農場の産卵鶏5,797千羽）","農林畜産検疫本部(QIA)「2024년 동물복지 축산농장 인증 현황」より「전체 가축사육두수 중 동물복지 사육두수는 … 산란계 7.5」（認証産卵鶏 5,797千羽、2024年12月31日現在）。韓国の動物福祉畜産農場認証は産卵鶏のケージ飼育を認めておらず、認証羽数＝ケージフリー羽数。未認証のケージフリー農場は含まないため下限値",https://www.qia.go.kr/viewwebQiaCom.do?id=66055&type=7_depart
c262,採卵鶏,韓国の動物福祉畜産農場認証は産卵鶏のケージ飼育を認めていない,動物保護法施行規則 別表9の2の認証基準。国立畜産科学院の解説でも認証鶏舎は開放鶏舎・無窓鶏舎・放飼で、飼育密度は1㎡当たり7〜9羽,https://www.qia.go.kr/bbs/lawAnn/viewLawWebAction.do?id=123294&type=0
c263,採卵鶏,"2019年時点の韓国の動物福祉認証産卵鶏農場は121戸・約180万羽で、全産卵鶏農場1,007戸の約12%だった","Hong, E.-C. et al. (2019)「A survey on egg laying performance and distribution status of animal welfare certified farms for laying hens」Korean Journal of Poultry Science 46(2): 55-63 の緒言",https://doi.org/10.5536/KJPS.2019.46.2.55
c264,採卵鶏,韓国では2019年8月から卵の殻に飼育環境番号（1=放し飼い、2=平飼い、3=改良ケージ、4=従来型ケージ）の印字が義務づけられている,韓国の畜産物衛生管理法にもとづく卵殻表示制度。2019年8月施行。1・2番が動物福祉認証の対象,https://www.animal.go.kr/front/community/show.do?boardId=contents&seq=144&menuNo=3000000017
c301,母豚,広岡(2018)モデルのベース条件は妊娠114日・授乳21日・分娩間隔159日・繁殖サイクル6回,広岡(2018)表1のベース条件,https://doi.org/10.2508/chikusan.89.415
c302,母豚,"そのベース条件では母豚は1,170日齢で淘汰され、繁殖に使われる930日のうち810日（87%）が妊娠か授乳にあたる",式(1)からの計算。本サイトによる算出,https://doi.org/10.2508/chikusan.89.415
c303,母豚,繁殖用の雌豚にストールを常用している農場は91.6%（2018年8月1日現在、n=657）,日本養豚協会「平成30年度 養豚農業実態調査報告書（全国集計結果）」表80「ストールの利用率（％）：地域別（n=657）」全国91.6%。本文「繁殖用雌豚の飼養管理にストールを常用しているかという設問について回答経営体の割合をみると、「している」が91.6％」,https://jppa.biz/zius/wp-content/uploads/2019/10/20190520.pdf
c304,母豚,妊娠ストールの幅は約60cmで方向転換ができない,一次資料の特定が必要,
c305,母豚,EUでは交配4週後から出産予定の1週間前まで群飼が義務づけられている,指令2008/120/EC 第3条4項,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32008L0120
c306,母豚,91.6%は農場の割合であり、母豚の頭数に占める割合ではない。大規模層ほどストール使用率が高いため、頭数ベースではより高いと考えられる,同報告書「地域別にみると、群飼育の割合が「近畿」23.1％と多かった。子取り用雌豚規模別では、「1～19頭」で最も群飼養の割合が高く、最も低いのは「500～999頭」の0％であった」,https://jppa.biz/zius/wp-content/uploads/2019/10/20190520.pdf
c307,母豚,図の繁殖6回は広岡(2018)モデルのベース条件であり、実際には4産前後かそれ以下で淘汰される例が多いとされる。国内の平均産次の公的統計は見当たらない,広岡博之(2018)表1のベース条件は繁殖サイクル数6回。実際の淘汰産次については、日本養豚協会の養豚農業実態調査（2018・2022・2024年度）にも産次・更新率の集計はなく、公的な平均値を確認できない。現場からは4産前後での淘汰が多いとの指摘がある,https://doi.org/10.2508/chikusan.89.415
c401,Q&A,生食用殻付き卵の基準は表示・期限・保存温度・記録に関するもので、飼育方式の規定はない,平成10年11月25日 生衛発第1674号,https://www.mhlw.go.jp/web/t_doc?dataId=00ta5686&dataType=1&pageNo=1
c402,Q&A,国内の卵はGPセンターで洗浄・次亜塩素酸ナトリウム等による消毒・乾燥・検卵・格付・包装の工程を通る,一次資料の特定が必要,
c403,Q&A,エイビアリーや平飼いでは巣箱で産卵させ、ベルトコンベアで自動回収する仕組みが標準,巣外卵が技術的課題として挙げられている点は確認済み。自動回収が「標準」かは要検証,https://lab-navi.azabu-u.ac.jp/va-10
c404,ブロイラー,日本のブロイラーの飼養密度は平均46.68kg/m²（15.90羽）、最大58.99kg/m²（22.69羽）,畜産技術協会の飼養実態アンケート調査にもとづく数値（アニマルライツセンターによる集計）。日本は平均1m²あたり15.90羽・46.68kg、最大22.69羽・58.99kg,https://www.hopeforanimals.org/broiler/495/
c405,Q&A,ベターチキンコミットメントは飼養密度30kg/m²以下・成長の遅い品種・環境エンリッチメント・自然光・意識のある吊り下げの廃止を求めている,,https://betterchickencommitment.com/
c406,Q&A,日本にはブロイラーの飼養密度に法的な上限がない,法令の不存在の確認が必要,
c407,ブロイラー,EUは飼養密度の上限を33kg/m²と定めている（条件を満たす場合39kg/m²まで）,EU指令 2007/43/EC,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32007L0043
